time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-15T19:48:30.550Z,36.6781667,-121.3031667,4.15,2.6,md,54,64,0.0678,0.06,nc,nc73111256,2018-11-16T18:35:03.168Z,"12km S of Tres Pinos, CA",earthquake,0.15,0.61,0.184,74,reviewed,nc,nc
2018-11-15T06:40:26.220Z,33.157,-115.636,3.26,3.45,ml,72,25,0.02662,0.24,ci,ci38133927,2019-01-30T18:36:24.040Z,"12km WNW of Calipatria, CA",earthquake,0.15,0.29,0.135,279,reviewed,ci,ci
2018-11-15T02:57:11.730Z,35.7028333,-121.0193333,8.38,2.61,md,61,109,0.1242,0.08,nc,nc73110956,2018-11-16T18:50:02.249Z,"13km WSW of Lake Nacimiento, CA",earthquake,0.16,0.69,0.134,54,reviewed,nc,nc
2018-11-14T15:56:32.450Z,35.9948333,-117.694,2.4,2.64,ml,33,31,0.0587,0.14,ci,ci38362936,2018-11-15T00:04:15.317Z,"20km ENE of Little Lake, CA",earthquake,0.13,0.19,0.157,90,reviewed,ci,ci
2018-11-13T09:54:09.150Z,34.0308333,-116.601,10.44,2.51,ml,88,34,0.03974,0.15,ci,ci38360968,2018-11-14T06:17:39.335Z,"3km SW of Morongo Valley, CA",earthquake,0.12,0.25,0.16,25,reviewed,ci,ci
2018-11-13T05:21:49.980Z,36.4116667,-120.7423333,15.85,2.54,md,67,73,0.2011,0.12,nc,nc73110146,2018-11-16T05:03:04.071Z,"6km W of New Idria, CA",earthquake,0.19,0.47,0.194,67,reviewed,nc,nc
2018-11-12T00:53:47.320Z,39.229,-120.0988333,3.59,2.95,md,21,60,0.2112,0.09,nc,nc73109741,2018-12-13T01:05:16.629Z,"4km WSW of Tahoe Vista, CA",earthquake,0.19,1.12,0.138,66,reviewed,nc,nc
2018-11-11T06:44:56.069Z,40.4561,-116.1253,7.7,3.3,ml,41,83.22,0.502,0.1737,nn,nn00665118,2019-01-21T16:42:55.040Z,"28km S of Carlin, Nevada",earthquake,,2.9,0.29,24,reviewed,nn,nn
2018-11-10T20:01:08.410Z,38.0626667,-122.2278333,8.51,2.7,md,84,94,0.006328,0.14,nc,nc73109351,2018-11-14T03:03:38.218Z,"2km NW of Crockett, CA",earthquake,0.18,0.24,0.125,87,reviewed,nc,nc
2018-11-10T19:56:02.860Z,38.061,-122.2285,8.84,3.53,mw,192,61,0.006408,0.17,nc,nc73109341,2019-02-17T10:36:01.677Z,"2km NW of Crockett, CA",earthquake,0.11,0.16,,5,reviewed,nc,nc
2018-11-10T14:11:54.750Z,36.6686667,-121.2943333,5.89,3.45,mw,68,54,0.05996,0.09,nc,nc73109266,2019-01-21T16:42:59.040Z,"14km S of Tres Pinos, CA",earthquake,0.13,0.4,,4,reviewed,nc,nc
2018-11-10T10:38:37.280Z,32.7803333,-116.4071667,12.11,2.57,ml,81,53,0.1113,0.25,ci,ci38357360,2018-11-12T18:41:18.410Z,"12km ESE of Pine Valley, CA",earthquake,0.17,0.48,0.139,118,reviewed,ci,ci
2018-11-09T20:31:48.410Z,39.4251667,-123.2875,5.55,3.79,mw,51,55,0.05842,0.08,nc,nc73109006,2019-01-21T16:42:59.040Z,"6km ENE of Willits, CA",earthquake,0.12,0.3,,6,reviewed,nc,nc
2018-11-09T14:58:09.270Z,33.4853333,-116.8048333,1.43,3.78,mw,138,12,0.02722,0.22,ci,ci38355456,2019-01-21T16:42:59.040Z,"7km NE of Aguanga, CA",earthquake,0.1,0.23,,4,reviewed,ci,ci
2018-11-09T14:48:40.000Z,33.4835,-116.803,1.95,2.95,ml,132,21,0.02888,0.23,ci,ci38355368,2019-01-21T16:42:59.040Z,"7km NE of Aguanga, CA",earthquake,0.11,0.26,0.15,153,reviewed,ci,ci
